"","source","lon","lat","z","Tg","PPFD","vpd","alpha","nhx","noy","ndep","nre","pft"
"127","Du",11.83,46.35,1878,4.95762037561096,347.553490607026,0.221149623567906,1.00413360111307,0.676313842597761,0.655429507556714,1.33174335015448,0.585,"forest"
"128","Du",81.27,46.45,348,15.7338273256271,434.851612760441,1.2172524536736,0.8417559269723,0.211260523451002,0.137502366774961,0.348762890225963,0.5794354839,"forest"
"129","Du",2.57,46.59,201,14.5429378264314,336.136101604267,0.676170023353241,0.971854151527468,0.809650094885575,0.541234486981442,1.35088458186702,0.5690474045,"forest"
"130","Du",-83.73,46.7,456,11.3616641291509,413.219574785748,0.550615951692288,0.986567997766589,0.206805127231698,0.528851857310847,0.735656984542546,0.5411231884,"forest"
"131","Du",3.24,47.41,215,14.1991474083697,330.995509420887,0.656494101283768,0.973510850759684,0.980788384613238,0.633010017244439,1.61379840185768,0.6220772736,"forest"
"132","Du",4.62,47.66,377,13.3147590626735,330.215167236529,0.637151547540967,0.984089973092163,1.02145209124214,0.656897359772732,1.67834945101487,0.5935994827,"forest"
"133","Du",-3.7,50.35,126,12.3000041062991,309.31938040372,0.380251882703838,0.985967341779376,0.381357048687182,0.269896074345237,0.651253123032419,0.6132266667,"forest"
"134","Du",121.5,50.93,836,12.2001189927531,434.67401142734,0.709919428136049,0.961213886099724,0.559504116836347,0.164327573619391,0.723831690455738,0.72952,"forest"
"135","Du",24.07,54.75,90,10.1998888492048,266.454073668061,0.459261006154529,0.989981750198529,0.574672388403039,0.632931552435222,1.20760394083826,0.66974,"forest"
"136","Du",16.5,60.82,170,7.45259085733828,247.767631239002,0.335886607531471,0.989802192839589,0.194074581328191,0.395064539030979,0.58913912035917,0.727952,"forest"
"137","Du",-152.3,63.9,231,9.01038065782207,336.018281872162,0.429316003100326,0.976627846931056,0.115247165686206,0.0554546288361675,0.170701794522373,0.679922875,"forest"
"138","Du",100.25,64.32,223,10.4900428282426,376.167082676056,0.598742665808043,0.979679864357259,0.0915916060146533,0.0826266004066718,0.174218206421325,0.786752,"forest"
"139","Du",-147.8,65.9,405,9.06927227477602,356.500981068174,0.450340607214364,0.953105915758087,0.21918297833518,0.0554157850381575,0.274598763373337,0.82334905555,"forest"
"140","Du",18.82,68.35,388,5.13185530762705,216.395655050807,0.291530822669752,0.998777113189952,0.041145837620685,0.1325987310786,0.173744568699285,0.7683613897,"forest"
"141","Dong",172.5,-43.63,14,15.1523673580175,369.833581005315,0.669451040394507,0.938249125463288,0.106491247290059,0.0347247437426918,0.141215991032751,0.5731,"forest"
"142","Dong",-73.43,-40.2,870,11.6663267927406,348.663779071334,0.689353239775346,0.930364123381927,0.0874825853266214,0.0328582978170169,0.120340883143638,0.712,"forest"
"143","Dong",-71.5,-40,1129,12.3700470962254,401.851977461352,0.846548347337473,0.886983080723186,0.101963165559267,0.038086681969856,0.140049847529123,0.6765,"forest"
"144","Dong",-54,-2,1,30.2670465515668,404.831708824401,1.27364002156354,0.958652199781485,0.206645020528844,0.105448699703342,0.312093720232186,0.2949,"forest"
"145","Dong",9,5,541,28.1681887438209,359.985589719976,1.22358529619793,0.971592686967879,0.397788240721351,0.378086493203515,0.775874733924866,0.159385714285714,"forest"
"146","Dong",38,7,1732,23.8480969761857,465.363361744712,1.5213462835172,0.93570926437354,0.410848454425209,0.192979029918972,0.603827484344181,0.3633,"forest"
"147","Dong",-79.96,9.37,18,28.7681548161987,429.427568003617,1.03916071060286,0.970021958443887,0.141763634587589,0.182914680556247,0.324678315143836,0.46592,"forest"
"148","Dong",76.03,11.36,72,30.3610516083628,483.030747774891,1.64703143000607,0.89991910917976,0.51444883252445,0.282630608270043,0.797079440794493,0.425322222222222,"forest"
"149","Dong",-88.1,16.83,0,29.2253427349552,450.613895853126,1.21183440188022,0.982228296146733,0.110240450815151,0.125526065889158,0.235766516704308,0.5284,"forest"
